"Zeitstempel","Betriebssystem","Programmierkentnisse","Programmiersprachen","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2016/07/10 7:54:59 nachm. OEZ","Debian/Ubuntu","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy","","Terminkollision :)
daher werde ich nicht an allen tagen anwesend seien können"
"2016/07/11 3:19:36 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Basic, C++","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/07/12 9:03:51 vorm. OEZ","MacOS","schon mal programmiert, auch in Python","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/07/15 11:05:40 vorm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/07/15 12:09:31 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++, Java, HTML","Zusammenarbeiten / Versionskontrolle mit Git","",""
"2016/07/15 12:12:25 nachm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/07/16 2:25:02 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2016/07/18 10:32:37 nachm. OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2016/07/19 11:09:22 nachm. OEZ","MacOS","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy","Latex",""
"2016/07/25 5:10:05 nachm. OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","C++, Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/08/02 11:08:09 vorm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/08/02 11:09:19 vorm. OEZ","Windows","schon mal programmiert, auch in Python","Python, C, C++","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
